row_id,Event No,Event Id,Researcher,Test,Struct,Nscale,Visc,Water,Mat L1,H L1,Dr L1,Mat L2,H L2,Dr L2,Mat L3,H L3,Dr_L3,Mat_L4,H_L4,Dr_L4,Curvedsurf,W,L,T,H,H_Cm,H_Cd,M_Struct,M_Deck,M_Col,M_Foot,Embed,Q,T_Fb,Modification,Motion,Amp,IF,RPM,PBA,PBV,CAV5,CAVstd,Ia_s,SIR,cCAV5,cCAVstd,cIa,PGA_s 1,PGA_s 2,PGA_s 3,PGA_s 4,Acc No,PGV_s,CAV5_s,CAVstd_s,Ia_s_2,SIR_s,cCAV5_s,cCAVstd_s,cIa_s,Set,cSet,Rot,cRot,References,Project url,BMA File,SMA File,SMA Sensor,DOI,Container,ESN,Comments,PGA_surface_max,surface_to_base_pga_ratio,apparent_acceleration_benefit,high_cumulative_settlement,high_cumulative_rotation,observed_settlement_rotation_penalty,observed_false_safe_if_acceleration_only,baseline_always_flag,baseline_intensity_only,baseline_structure_only,risk_score,risk_ge_q_0.05,risk_ge_q_0.10,risk_ge_q_0.15,risk_ge_q_0.20,risk_ge_q_0.25,risk_ge_q_0.30,risk_ge_q_0.35,risk_ge_q_0.40,risk_ge_q_0.45,risk_ge_q_0.50,risk_ge_q_0.55,risk_ge_q_0.60,risk_ge_q_0.65,risk_ge_q_0.70,risk_ge_q_0.75,risk_ge_q_0.80,risk_ge_q_0.85,risk_ge_q_0.90,risk_ge_q_0.95,proposed_pre_response_guardrail
,115,T3.9-50-06-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,35.8,95.3,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,116,T3.9-50-06-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Moderate Port Island,1.5,2750,76.5,0.19,22.74,0.38,0.29,0.39,0.06,0.81,0.56,0.72,0.23,0.22,,,2.0,33.49,0.66,0.56,0.86,0.13,1.4,1.1,1.56,19.8,53.5,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-06-BMA.dat,T3.9-50-06-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",6,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.23,1.2105263157894737,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,117,T3.9-50-07-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,434.5,609.4,-0.01429,-0.01691,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,True,True,True,False,True,True,False,5.800607947100929,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
,118,T3.9-50-07-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,447.4,644.2,-0.01278,-0.01729,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,True,True,True,False,True,True,False,5.800607947100929,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
,119,T3.9-50-07-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,392.5,527.2,0.00016,0.00026,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,True,False,True,False,True,True,True,6.369181479785106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,120,T3.9-50-07-J_E,JDA01,T3.9-50,J_E,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,301.8,418.6,-0.03963,-0.0539,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,True,True,True,False,True,True,True,6.369181479785106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,121,T3.9-50-07-J_CP,JDA01,T3.9-50,J_CP,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,142.1,159.5,0.03131,0.03875,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,False,True,True,False,True,True,True,6.369181479785106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,122,T3.9-50-07-J_PF,JDA01,T3.9-50,J_PF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,Unattached Piles,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,364.2,491.3,-0.00313,-0.00977,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,True,False,True,False,True,True,True,6.369181479785106,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
,123,T3.9-50-07-FF_F,JDA01,T3.9-50,FF_F,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,108.0,203.4,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,124,T3.9-50-07-FF_C,JDA01,T3.9-50,FF_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,,,,,,,,,,,,,,N/A - FF,Large Port Island,5.1,2750,76.5,0.55,49.07,1.32,1.18,3.82,0.57,2.13,1.74,4.55,1.52,0.89,,,2.0,69.33,1.79,1.4,5.49,0.67,3.19,2.5,7.05,83.5,137.0,,,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-07-BMA.dat,T3.9-50-07-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",7,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,1.52,2.7636363636363632,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,133,T3.9-50-09-J_SC,JDA01,T3.9-50,J_SC,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Step Wave,1.0,4000,76.6,0.01,0.63,0.0,0.0,0.0,0.0,2.14,1.74,4.55,,0.01,,,2.0,0.94,0.0,0.0,0,0.0,3.19,2.5,7.05,0.0,609.4,0.0,-0.01691,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-09-BMA.dat,T3.9-50-09-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",9,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.01,1.0,False,True,True,True,False,True,False,False,-2.5562673840596544,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,134,T3.9-50-09-J_SF,JDA01,T3.9-50,J_SF,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Nevada Sand,2.8,0.8,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,0.0,179.0,0.87,none,Step Wave,1.0,4000,76.6,0.01,0.63,0.0,0.0,0.0,0.0,2.14,1.74,4.55,,0.01,,,2.0,0.94,0.0,0.0,0,0.0,3.19,2.5,7.05,0.0,644.2,0.0,-0.01729,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-09-BMA.dat,T3.9-50-09-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",9,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.01,1.0,False,True,True,True,False,True,False,False,-2.5562673840596544,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,135,T3.9-50-09-J_C,JDA01,T3.9-50,J_C,55,11,-0.7,Nevada Sand,16.8,0.8,Nevada Sand,3.9,0.5,Aquarium Gravel,2.8,0.9,none,none,none,yes,7.5,7.5,1.4,14.9,10.5,13.5,1031691.0,792943.0,28117.0,210631.0,1.4,179.0,0.87,none,Step Wave,1.0,4000,76.6,0.01,0.63,0.0,0.0,0.0,0.0,2.14,1.74,4.55,,0.01,,,2.0,0.94,0.0,0.0,0,0.0,3.19,2.5,7.05,0.0,527.2,0.0,0.00026,JDA01 Data Report.pdf,https://www.designsafe-ci.org/data/browser/public/nees.public/NEES-2008-0565.groups/,T3.9-50-09-BMA.dat,T3.9-50-09-SMA.dat,"GHAN7, GHAN8",10.4231/D3C53F17M,"Flexible Shear Beam Container (1651 mm x 787 mm, Inner Dimensions, Model Scale)",9,The surface layer was split down the center of the container (in the shaking direction) with nevada sand and aquarium gravel as different surface layer materials,0.01,1.0,False,True,False,True,False,True,False,True,-1.9876938513754767,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
