feature,direction,threshold,false_safe_caught,true_safe_flagged,false_safe_recall,true_safe_penalty,rule_score
R_delta_total_predicted,<=,0.13901192438563328,0,5,0.0,0.1724137931034483,-0.08620689655172414
n_s_proxy,<=,-113.33052113515458,0,5,0.0,0.1724137931034483,-0.08620689655172414
map_margin,>=,1.973217753574492,0,5,0.0,0.1724137931034483,-0.08620689655172414
lambda_proxy,>=,1.6647142140278748,1,12,0.07692307692307693,0.41379310344827586,-0.129973474801061
measured_displacement_severity,<=,0.13560000000000003,0,9,0.0,0.3103448275862069,-0.15517241379310345
map_margin,>=,1.4518536631990153,0,9,0.0,0.3103448275862069,-0.15517241379310345
n_s_proxy,<=,-72.38175566619779,0,9,0.0,0.3103448275862069,-0.15517241379310345
R_delta_total_predicted,<=,0.2341362419659736,0,9,0.0,0.3103448275862069,-0.15517241379310345
lambda_proxy,>=,2.1320071635561044,0,10,0.0,0.3448275862068966,-0.1724137931034483
map_margin,>=,0.8414568439342678,2,19,0.15384615384615385,0.6551724137931034,-0.17374005305039786
R_delta_total_predicted,<=,0.43162968435024995,2,19,0.15384615384615385,0.6551724137931034,-0.17374005305039786
measured_displacement_severity,<=,1.2826000000000004,4,29,0.3076923076923077,1.0,-0.1923076923076923
n_s_proxy,<=,-56.53209208589345,0,13,0.0,0.4482758620689655,-0.22413793103448276
map_margin,>=,1.1513498920594458,0,13,0.0,0.4482758620689655,-0.22413793103448276
measured_displacement_severity,<=,0.21369999999999997,0,13,0.0,0.4482758620689655,-0.22413793103448276
R_delta_total_predicted,<=,0.31621848771266553,0,13,0.0,0.4482758620689655,-0.22413793103448276
map_margin,>=,0.9956841199056113,0,17,0.0,0.5862068965517241,-0.29310344827586204
R_delta_total_predicted,<=,0.3698408279773158,0,17,0.0,0.5862068965517241,-0.29310344827586204
measured_displacement_severity,<=,0.29600000000000015,0,17,0.0,0.5862068965517241,-0.29310344827586204
measured_displacement_severity,<=,0.4925,0,21,0.0,0.7241379310344828,-0.3620689655172414
measured_displacement_severity,<=,0.8405999999999999,0,25,0.0,0.8620689655172413,-0.43103448275862066
measured_displacement_severity,<=,1.0896000000000006,0,29,0.0,1.0,-0.5
